Boroughs,Type
Pierrefonds-Roxboro,B
Cote-des-Neiges-Notre-Dame-de-Grace,B
Mercier-Hochelaga-Maisonneuve,B
Verdun,B
LaSalle,B
Ville-Marie,B
Lachine,B
Saint-Laurent,B
Saint-Leonard,B
Southwest,B
Outremont,B
Montreal-Nord,B
Rosemont-La Petite-Patrie,B
Mont-Royal,B
Ahuntsic-Cartierville,B
L'ile-Bizard-Sainte-Genevieve,B
Anjou,B
Riviere-des-Prairies-Pointe-aux-Trembles,B
Villeray-Saint-Michel-Parc-Extension,B
Cote Saint-Luc,T
Beaconsfield,T
Dorval,T
Pointe-Claire,T
Westmount,T
Kirkland,T
Baie-d'Urfe,T
Montreal-Est,T
Sainte-Anne-de-Bellevue,T
