Boroughs,Type,Lat,Long
Pierrefonds-Roxboro,B,45.5096296,-73.8191519
Cote-des-Neiges-Notre-Dame-de-Grace,B,45.4911511,-73.6326526
Mercier-Hochelaga-Maisonneuve,B,45.5729775,-73.5307953
Verdun,B,45.4548269,-73.5698729
LaSalle,B,45.4306269,-73.6348015
Ville-Marie,B,45.5087937,-73.5553019
Lachine,B,45.441347,-73.68858469999999
Saint-Laurent,B,45.4985638,-73.74975669999999
Saint-Leonard,B,45.58747270000001,-73.5970099
Southwest,B,45.466107,-73.5938658
Outremont,B,45.5142856,-73.60901129999999
Montreal-Nord,B,45.6071981,-73.63147359999999
Rosemont-La Petite-Patrie,B,45.5517018,-73.5836271
Mont-Royal,B,45.5071024,-73.5874071
Ahuntsic-Cartierville,B,45.54474339999999,-73.66812589999999
L'ile-Bizard-Sainte-Genevieve,B,45.4948893,-73.89075559999999
Anjou,B,45.6159585,-73.5693509
Riviere-des-Prairies-Pointe-aux-Trembles,B,45.6730725,-73.5186648
Villeray-Saint-Michel-Parc-Extension,B,45.5553343,-73.60830969999999
Cote Saint-Luc,T,45.4680498,-73.6729464
Beaconsfield,T,45.4309308,-73.86828349999999
Dorval,T,45.4503213,-73.7500486
Pointe-Claire,T,45.4719655,-73.7990191
Westmount,T,45.48571889999999,-73.59569929999999
Kirkland,T,45.4560415,-73.8623337
Baie-d'Urfe,T,45.416456,-73.9160797
Montreal-Est,T,45.6320003,-73.5066981
Sainte-Anne-de-Bellevue,T,45.4032761,-73.95036069999999
