,CATEGORIE,long,lat,Address,Neighborhood
0,Vol dans / sur véhicule à moteur,-73.81830245709017,45.48986827543344,"104, Rue Rouville, Dollard-Des-Ormeaux, Agglomération de Montréal, Montréal (06), Québec, H9A 2V5, Canada",
1,Méfait,-73.77703054979091,45.50315138898987,"4655, Rue Alexander, Pierrefonds-Est/Roxboro, Pierrefonds-Roxboro, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8Y 1P6, Canada",
2,Introduction,-73.57685082279934,45.50921536199335,"429, Rue Prince-Arthur Ouest, Milton Parc, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 1T9, Canada",
3,Vol de véhicule à moteur,-73.59563917652514,45.635895370036536,"12297, Avenue Copernic, Marc-Aurèle-Fortin, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1E 5M9, Canada",
4,Introduction,-73.55626980183445,45.520600869393576,"1342, Boulevard De Maisonneuve Est, Village gai, Sainte-Marie, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2L 2A2, Canada",
5,Méfait,-73.5725951152006,45.51924634575463,"411, Rue Roy Est, Parc-Lafontaine, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2W 2M4, Canada",
6,Vol de véhicule à moteur,-73.80720158587845,45.49350365520393,"4098, Boulevard des Sources, Dollard-Des-Ormeaux, Agglomération de Montréal, Montréal (06), Québec, H9B 0A7, Canada",
7,Introduction,-73.56694609848913,45.50629646079915,"Rue De Bleury et rue Sainte-Catherine, Rue Sainte-Catherine Ouest, Quartier des Spectacles, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3B 1A6, Canada",
8,Vol de véhicule à moteur,-73.59667397513259,45.63000928207303,"12102, 15e Avenue, Marc-Aurèle-Fortin, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1E 5M9, Canada",
9,Vol de véhicule à moteur,-73.65288396190586,45.494672620412324,"7403, Boulevard Décarie, Le Triangle, Savane, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4P 2H5, Canada",
10,Méfait,-73.55534006976988,45.45787502123126,"454, Chemin du Club-Marin, Île-des-Sœurs, Verdun, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3E 1X2, Canada",
11,Méfait,-73.62026328423545,45.61941651959017,"6380, Rue Pierre, Montréal-Nord-Est, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1G 3W1, Canada",
12,Introduction,-73.61148178513363,45.55387667455613,"2130, Rue Villeray, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2E 2Z4, Canada",
13,Méfait,-73.64263064302044,45.42961331789257,"330, Rue Comte, Cecil-P.-Newman, LaSalle, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8R 1V1, Canada",
14,Introduction,-73.62098587116783,45.43731404975941,"7728, Rue Serge, Sault-Saint-Louis, LaSalle, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8N 2H6, Canada",
15,Introduction,-73.56295374997842,45.52016094085805,"1125, Rue Ontario Est, Village gai, Sainte-Marie, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2L 1P9, Canada",
16,Vol de véhicule à moteur,-73.5893801894308,45.52364188968462,"4862, Rue De Bullion, Mile End, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2T 1J9, Canada",
17,Vol de véhicule à moteur,-73.57301204659299,45.5102115845942,"225, Rue Milton, Milton Parc, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 2H8, Canada",
18,Vol dans / sur véhicule à moteur,-73.57301204659299,45.5102115845942,"225, Rue Milton, Milton Parc, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 2H8, Canada",
19,Vol dans / sur véhicule à moteur,-73.59866414521568,45.45631359585439,"6209, Rue D'Aragon, Ville-Émard, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4E 2L6, Canada",
20,Vols qualifiés,-73.57227211976142,45.571139286245774,"Rue Beaubien et rue Viau, Rue Viau, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1T 1V4, Canada",
21,Vol dans / sur véhicule à moteur,-73.50194419423556,45.664939805378104,"1872, 43e Avenue, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1A 1T5, Canada",
22,Vol de véhicule à moteur,-73.58369313692057,45.549419458536825,"2811, Boulevard Rosemont, Étienne-Desmarteau, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1Y 1L2, Canada",
23,Vol de véhicule à moteur,-73.83622455608257,45.47782197774468,"4988, Rue Lake, Dollard-Des-Ormeaux, Agglomération de Montréal, Montréal (06), Québec, H9G 1X5, Canada",
24,Vols qualifiés,-73.58027418292271,45.49608516957236,"2159, Rue Guy, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3H 2L9, Canada",
25,Méfait,-73.55019753049638,45.55585175436828,"4290, Avenue Pierre-De Coubertin, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1V 1A6, Canada",
