,CATEGORIE,DATE,QUART,long,lat,Address,Neighborhood
0,Vol de véhicule à moteur,2020-12-30,jour,-73.60611619846414,45.591296171749775,"8920, Rue Claudel, Port-Maurice, Saint-Léonard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1R 2B6, Canada",
1,Vols qualifiés,2020-12-30,soir,-73.64359961834138,45.51692617001196,"1250, Boulevard Laird, Mont-Royal, Agglomération de Montréal, Montréal (06), Québec, H3R 1G8, Canada",
2,Vol de véhicule à moteur,2020-12-30,soir,-73.63098812987684,45.59689773606515,"11135, Avenue Bellevois, Montreal-Nord-Centre, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1H 1V2, Canada",
3,Vol de véhicule à moteur,2020-12-30,soir,-73.55608768080255,45.55091224009484,"3801, Place Victor Bourgeau, Petite-Côte, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1X 3B3, Canada",
4,Vol dans / sur véhicule à moteur,2020-12-30,jour,-73.59863007862909,45.5646414757085,"7453, 17e Avenue, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2A 1X9, Canada",
5,Vol dans / sur véhicule à moteur,2020-12-30,jour,-73.6272153076514,45.53982726538224,"201, Rue Gounod, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2R 2E8, Canada",
6,Méfait,2020-12-30,jour,-73.87425901067965,45.47678529851267,"16406, Boulevard Gouin Ouest, Pierrefonds-Ouest, L'Île-Bizard–Sainte-Geneviève, Montréal, Agglomération de Montréal, Montréal (06), Québec, H9J 3C8, Canada",
7,Vol de véhicule à moteur,2020-12-30,jour,-73.70032339639388,45.53847280598978,"2614, Rue de Charny, Nouveau-Bordeau, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4J 1H1, Canada",
8,Vol de véhicule à moteur,2020-12-30,soir,-73.82743592340104,45.51315430932099,"Riverdale / Riviera, Boulevard Riverdale, Pierrefonds-Est/Roxboro, Pierrefonds-Roxboro, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8Z 1C2, Canada",
9,Vol de véhicule à moteur,2020-12-30,jour,-73.61720199132021,45.54845394877314,"1355, Rue Villeray, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2E 3A8, Canada",
10,Méfait,2020-12-30,jour,-73.61386935671909,45.59601280751717,"5555, Boulevard des Grandes-Prairies, Port-Maurice, Saint-Léonard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1R 2B7, Canada",
11,Introduction,2020-12-30,jour,-73.58891040905513,45.4875146269782,"4129, Boulevard De Maisonneuve Ouest, Westmount, Agglomération de Montréal, Montréal (06), Québec, H3Z 2A4, Canada",
12,Vol de véhicule à moteur,2020-12-30,jour,-73.62474412203784,45.62031026149156,"12451, Boulevard Rolland, Montréal-Nord-Est, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1G 3W1, Canada",
13,Méfait,2020-12-30,jour,-73.59743124146567,45.62625027489846,"7547, Boulevard Maurice-Duplessis, Marc-Aurèle-Fortin, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1E 5M9, Canada",
14,Vols qualifiés,2020-12-30,jour,-73.55295112819452,45.60681472342332,"8298, Boulevard Wilfrid-Pelletier, Anjou, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1M 2X3, Canada",
15,Vol dans / sur véhicule à moteur,2020-12-30,jour,-73.6121232516975,45.54769920697596,"École Gabriel-Lalemant, Rue Rousselot, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2E 2A3, Canada",
16,Méfait,2020-12-30,jour,-73.5737001284026,45.49529478584842,"VA - Visual Arts Building, Boulevard René-Lévesque Ouest, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4G 1T4, Canada",
17,Vol de véhicule à moteur,2020-12-30,jour,-73.63587089814422,45.48117025623111,"39, Rue Ellerdale, Hampstead, Agglomération de Montréal, Montréal (06), Québec, H3X 2Z4, Canada",
18,Vol dans / sur véhicule à moteur,2020-12-30,jour,-73.54697006562594,45.54167949845222,"Place des Tisserandes (Ontario / Saint-Germain), Place des Tisserandes, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1W 1P3, Canada",
19,Vol dans / sur véhicule à moteur,2020-12-30,jour,-73.61903761707178,45.597496754757465,"5252, Boulevard Industriel, Montreal-Nord-Centre, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1G 6N9, Canada",
20,Vol dans / sur véhicule à moteur,2020-12-30,jour,-73.61497997187212,45.6024532836386,"5760, Boulevard Industriel, Montréal-Nord-Est, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1G 5X3, Canada",
21,Introduction,2020-12-30,jour,-73.55745991022434,45.505185470597056,"Place D'Armes et rue Saint-Jacques E, Côte de la Place D'Armes, Vieux-Montréal, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2Y 2X6, Canada",
22,Méfait,2020-12-30,jour,-73.60057256655071,45.60349064539525,"9155, Boulevard Langelier, Grande-Prairie, Saint-Léonard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1P 2X4, Canada",
23,Vol de véhicule à moteur,2020-12-30,jour,-73.55812170909394,45.5232392539252,"1508, Rue La Fontaine, Village gai, Sainte-Marie, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2L 3H4, Canada",
