Venue Category,Neighborhood,0
Airport,Dorval,2
Airport Lounge,Dorval,4
Airport Service,Dorval,4
Airport Terminal,Pointe-Claire,1
American Restaurant,Anjou,1
American Restaurant,Dorval,1
American Restaurant,Outremont,1
American Restaurant,Saint-Leonard,1
American Restaurant,Sainte-Anne-de-Bellevue,1
Art Gallery,Cote-des-Neiges-Notre-Dame-de-Grace,1
Art Gallery,Ville-Marie,1
Art Museum,Mont-Royal,1
Art Museum,Ville-Marie,1
Art Museum,Westmount,1
Arts & Crafts Store,Ahuntsic-Cartierville,1
Arts & Crafts Store,LaSalle,1
Arts & Crafts Store,Mercier-Hochelaga-Maisonneuve,1
Arts & Crafts Store,Saint-Laurent,1
Arts & Crafts Store,Saint-Leonard,1
Arts & Crafts Store,Villeray-Saint-Michel-Parc-Extension,1
Asian Restaurant,Anjou,1
Asian Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
Asian Restaurant,Dorval,1
Asian Restaurant,LaSalle,1
Asian Restaurant,Lachine,1
Asian Restaurant,Rosemont-La Petite-Patrie,1
Asian Restaurant,Saint-Leonard,2
Asian Restaurant,Southwest,2
Asian Restaurant,Verdun,2
Asian Restaurant,Villeray-Saint-Michel-Parc-Extension,2
Asian Restaurant,Westmount,2
Athletics & Sports,Ahuntsic-Cartierville,1
Athletics & Sports,L'ile-Bizard-Sainte-Genevieve,1
Athletics & Sports,Mercier-Hochelaga-Maisonneuve,1
Athletics & Sports,Villeray-Saint-Michel-Parc-Extension,1
Australian Restaurant,Outremont,1
Auto Dealership,Montreal-Est,1
Auto Dealership,Riviere-des-Prairies-Pointe-aux-Trembles,1
Automotive Shop,Cote Saint-Luc,2
Automotive Shop,LaSalle,2
Automotive Shop,Lachine,2
BBQ Joint,Ahuntsic-Cartierville,1
BBQ Joint,Anjou,2
BBQ Joint,Cote-des-Neiges-Notre-Dame-de-Grace,1
BBQ Joint,Dorval,2
BBQ Joint,LaSalle,1
BBQ Joint,Montreal-Nord,1
BBQ Joint,Outremont,1
BBQ Joint,Pierrefonds-Roxboro,1
BBQ Joint,Rosemont-La Petite-Patrie,1
BBQ Joint,Saint-Leonard,1
BBQ Joint,Southwest,2
BBQ Joint,Verdun,1
BBQ Joint,Villeray-Saint-Michel-Parc-Extension,1
BBQ Joint,Westmount,1
Bagel Shop,Mont-Royal,1
Bagel Shop,Outremont,2
Bagel Shop,Pointe-Claire,1
Bagel Shop,Southwest,1
Bagel Shop,Verdun,1
Bakery,Ahuntsic-Cartierville,3
Bakery,Anjou,3
Bakery,Beaconsfield,2
Bakery,Cote Saint-Luc,1
Bakery,Cote-des-Neiges-Notre-Dame-de-Grace,4
Bakery,Dorval,1
Bakery,Kirkland,2
Bakery,LaSalle,1
Bakery,Mont-Royal,6
Bakery,Outremont,7
Bakery,Riviere-des-Prairies-Pointe-aux-Trembles,1
Bakery,Rosemont-La Petite-Patrie,9
Bakery,Saint-Leonard,3
Bakery,Southwest,4
Bakery,Verdun,4
Bakery,Ville-Marie,2
Bakery,Villeray-Saint-Michel-Parc-Extension,7
Bakery,Westmount,5
Bank,Ahuntsic-Cartierville,2
Bank,Anjou,1
Bank,Beaconsfield,2
Bank,Kirkland,4
Bank,LaSalle,2
Bank,Lachine,2
Bank,Mercier-Hochelaga-Maisonneuve,1
