Neighborhood,Neighborhood Latitude,Neighborhood Longitude,ID,Venue,Venue Latitude,Venue Longitude,Venue Category
Pierrefonds-Roxboro,45.5096296,-73.8191519,4bdb01a53904a593993d489e,Restaurant Bombay Choupati,45.50840398,-73.82045365,Indian Restaurant
Pierrefonds-Roxboro,45.5096296,-73.8191519,4e4eeb2b1495fc2ca3f806fc,Aryana,45.50458732,-73.81788527,Middle Eastern Restaurant
Pierrefonds-Roxboro,45.5096296,-73.8191519,51313bfee4b098c263c5d332,Les 3 Maria,45.5044599,-73.81780538,Portuguese Restaurant
Pierrefonds-Roxboro,45.5096296,-73.8191519,4c49c15c3013a59398152de3,Shahi Palace,45.503766,-73.81652032,Indian Restaurant
Pierrefonds-Roxboro,45.5096296,-73.8191519,51411f87e4b091a07e3025ce,Chateau Kebab,45.502341,-73.815488,Middle Eastern Restaurant
Pierrefonds-Roxboro,45.5096296,-73.8191519,4b2564a0f964a520207124e3,Adonis,45.50141813,-73.81420544,Grocery Store
Pierrefonds-Roxboro,45.5096296,-73.8191519,4bb7bf0b53649c748b3546fb,Twist and Cream/Twist ET Creme,45.50756721,-73.82504574,Ice Cream Shop
Pierrefonds-Roxboro,45.5096296,-73.8191519,52e316ef498e6812ddb16a63,Buzzfit gym,45.4890555,-73.80279918,Gym
Pierrefonds-Roxboro,45.5096296,-73.8191519,4b8ec6eff964a520733633e3,Centennial Park,45.48579776,-73.80958187,Park
Pierrefonds-Roxboro,45.5096296,-73.8191519,4b65c853f964a5206eff2ae3,Allo Mon Coco,45.52194414,-73.79960909,Breakfast Spot
Pierrefonds-Roxboro,45.5096296,-73.8191519,4ffd8a73067d0c46f63ef7d2,Île-Barwick,45.50709881,-73.8569212,Island
Pierrefonds-Roxboro,45.5096296,-73.8191519,4babdedaf964a520cad03ae3,La Porte Grecque,45.50089552,-73.81459219,Greek Restaurant
Pierrefonds-Roxboro,45.5096296,-73.8191519,4cd4877489eb6dcbceb1221e,SAQ,45.50727,-73.820968,Liquor Store
Pierrefonds-Roxboro,45.5096296,-73.8191519,4be5f7b0cf200f474706143c,La Verita,45.48510044,-73.80318733,Italian Restaurant
Pierrefonds-Roxboro,45.5096296,-73.8191519,4c904ead0b9e37048ed6665e,Basilic Vert,45.52230774,-73.78602516,Thai Restaurant
Pierrefonds-Roxboro,45.5096296,-73.8191519,4bd21ea977b29c74af098e82,Club de golf Islesmere,45.52398907,-73.84803222,Golf Course
Pierrefonds-Roxboro,45.5096296,-73.8191519,4dea9305636555593e4e1596,Moksha Yoga West Island,45.48844551,-73.8005231,Yoga Studio
Pierrefonds-Roxboro,45.5096296,-73.8191519,4c772cfcb4b4b60c001c270e,Billard Shooters,45.50986382,-73.82043118,Pool Hall
Pierrefonds-Roxboro,45.5096296,-73.8191519,4d45e587befe236a95b303e3,Pharmaprix,45.490401,-73.802412,Pharmacy
Pierrefonds-Roxboro,45.5096296,-73.8191519,4bc8e12c68f976b0e4305c83,TD Canada Trust,45.5077398,-73.82146776,Bank
Pierrefonds-Roxboro,45.5096296,-73.8191519,4b75ab4ef964a520a21b2ee3,Madisons Restaurant & Bar,45.485873,-73.801539,Restaurant
Pierrefonds-Roxboro,45.5096296,-73.8191519,4cd40e88d160b1f7483327ab,PJC Jean Coutu,45.522931,-73.799613,Pharmacy
Pierrefonds-Roxboro,45.5096296,-73.8191519,4b664a16f964a520751c2be3,Civic Center,45.48436717,-73.80781185,Skating Rink
